#CALL [\\爆率系统\天元通用爆率.txt] @焚天石天工之锤
1/6666      时空门票
1/888	恶魔牙骨

1/888	恶魔之角

1/888	魔罗指环

1/888	魔罗之卵



1/1888	虚耗(太古结界)

1/1888	祖明(太古结界)

1/1888	穷奇(太古结界)

1/1888	疆良(太古结界)

1/1888	伯奇(太古结界)

1/1888	雄伯(太古结界)



1/388	鹿皮靴[时装]

1/388	铁腰带[时装]

1/388	骷髅戒指[时装]

1/388	死神手套[时装]

1/388	蓝翡翠项链[时装]

1/388	骷髅头盔[时装]



1/1288	紫绸靴[时装]

1/1288	青铜腰带[时装]

1/1288	力量戒指[时装]

1/1288	骑士手镯[时装]

1/1288	绿色项链[时装]

1/1288	黑铁头盔[时装]



1/3888	避魂靴[时装]

1/3888	钢铁腰带[时装]

1/3888	圣战戒指[时装]

1/3888	圣战手镯[时装]

1/3888	圣战项链[时装]

1/3888	圣战头盔[时装]



1/222	流光淬火剣[天殇]

1/222	流光淬火剣[饮血]

1/222	流光淬火剣[戮兽]

1/222	流光幻彩衣[男]

1/222	流光锦绣衣[男]

1/222	流光淬火衣[男]



#CHILD 1/1 RANDOM

(

1/788	『帝皇靴』

1/788	『乾坤腰』

1/788	≮幽灵漫步≯

1/788	魔曲『戒』

1/788	╋残空╋

1/788	太虚≤链≥

1/788	【鬼仙链】

1/788	雄浑『链』

1/788	魔血护手(力)

1/788	力量护臂(精)

)



#CHILD 1/1 RANDOM

(

1/788	『帝皇靴』

1/788	『乾坤腰』

1/788	≮幽灵漫步≯

1/788	魔曲『戒』

1/788	╋残空╋

1/788	太虚≤链≥

1/788	【鬼仙链】

1/788	雄浑『链』

1/788	魔血护手(力)

1/788	力量护臂(精)

)



#CHILD 1/1 RANDOM

(

1/788	『帝皇靴』

1/788	『乾坤腰』

1/788	≮幽灵漫步≯

1/788	魔曲『戒』

1/788	╋残空╋

1/788	太虚≤链≥

1/788	【鬼仙链】

1/788	雄浑『链』

1/788	魔血护手(力)

1/788	力量护臂(精)

)



#CHILD 1/1 RANDOM

(

1/788	『帝皇靴』

1/788	『乾坤腰』

1/788	≮幽灵漫步≯

1/788	魔曲『戒』

1/788	╋残空╋

1/788	太虚≤链≥

1/788	【鬼仙链】

1/788	雄浑『链』

1/788	魔血护手(力)

1/788	力量护臂(精)

)



#CHILD 1/1 RANDOM

(

1/788	『帝皇靴』

1/788	『乾坤腰』

1/788	≮幽灵漫步≯

1/788	魔曲『戒』

1/788	╋残空╋

1/788	太虚≤链≥

1/788	【鬼仙链】

1/788	雄浑『链』

1/788	魔血护手(力)

1/788	力量护臂(精)

)



#CHILD 1/58 RANDOM

(

1/1	神王の拳I

1/1	神王の拳II

1/1	神王の拳III

1/1	神王の拳IV

)



#CHILD 1/58 RANDOM

(

1/1	吸血蚊虫

1/1	≤吸血蝙蝠≥

)



#CHILD 1/58 RANDOM

(

1/1	死亡凋零

1/1	≤死亡救赎≥

)



#CHILD 1/58 RANDOM

(

1/1	光明坠落

1/1	≤光明不朽≥

)



#CHILD 1/58 RANDOM

(

1/1	【神灭】

1/1	【淡然】

)



#CHILD 1/58 RANDOM

(

1/1	精灵の翔

1/1	傀儡の隐

1/1	凤凰の飞

)



#CHILD 1/58 RANDOM

(

1/1	◆妖皇◆腕

1/1	疾風·镯

)



#CHILD 1/58 RANDOM

(

1/1	神王の拳I

1/1	神王の拳II

1/1	神王の拳III

1/1	神王の拳IV

)



#CHILD 1/58 RANDOM

(

1/1	吸血蚊虫

1/1	≤吸血蝙蝠≥

)



#CHILD 1/58 RANDOM

(

1/1	死亡凋零

1/1	≤死亡救赎≥

)



#CHILD 1/58 RANDOM

(

1/1	光明坠落

1/1	≤光明不朽≥

)



#CHILD 1/58 RANDOM

(

1/1	【神灭】

1/1	【淡然】

)



#CHILD 1/58 RANDOM

(

1/1	精灵の翔

1/1	傀儡の隐

1/1	凤凰の飞

)



#CHILD 1/58 RANDOM

(

1/1	◆妖皇◆腕

1/1	疾風·镯

)



1/288888	猪脑过载

1/688888	魔法盾

1/288888	护体神盾



1/15988888	给你马一拳

1/15988888	强化+9999

1/15988888	勿忘我

1/15988888	无尽的华尔兹
1/58	殘魂必殺甲

1/58	殘魂必殺刃



1/5	殘魂神靴

1/5	殘魂神带

1/5	殘魂神戒

1/5	殘魂神镯

1/5	殘魂神链

1/5	殘魂神盔



1/58	殘魂必殺甲

1/58	殘魂必殺刃



1/5	殘魂神靴

1/5	殘魂神带

1/5	殘魂神戒

1/5	殘魂神镯

1/5	殘魂神链

1/5	殘魂神盔



1/58	殘魂必殺甲

1/58	殘魂必殺刃



1/5	殘魂神靴

1/5	殘魂神带

1/5	殘魂神戒

1/5	殘魂神镯

1/5	殘魂神链

1/5	殘魂神盔



1/86	黄金锁子甲

1/86	黄金霸王斩



1/10	黄金靴子

1/10	黄金腰带

1/10	黄金瞬影戒

1/10	黄金银河护手

1/10	黄金冥王链

1/10	黄金幽灵盔



1/122	狂王披风

1/122	霸者神兵



1/20	震天靴子

1/20	震天腰带

1/20	震天圣戒

1/20	震天护手

1/20	震天铃铛

1/20	震天头盔



1/188	天使羽衣

1/188	审判之刃



1/38	天使神靴

1/38	天使腰带

1/38	天使圣戒

1/38	天使旭日手

1/38	天使如意链

1/38	天使宝冠



1/258	毁天灭地甲

1/258	天崩地裂斩



1/128	毁灭の灵靴

1/128	毁灭の腰带

1/128	毁灭の影戒

1/128	毁灭の亡镯

1/128	毁灭の项链

1/128	毁灭の面罩



1/318	神·战甲

1/318	神·暴风



1/168	神·破灭神靴

1/168	神·主宰仙带

1/168	神·创世指

1/168	神·毁灭镯

1/168	神·皎洁月

1/168	神·魔王盔



1/438	圣·战甲

1/438	圣·暴风



1/208	圣·皇天靴

1/208	圣·皇天带

1/208	圣·毁苍生

1/208	圣·灭苍穹

1/208	圣·飞仙链

1/208	圣·破九天



1/688	雄霸

1/688	血杀



1/288	荒古·靴

1/288	荒古·带

1/288	荒古·戒

1/288	荒古·镯

1/288	荒古·链

1/288	荒古·盔



1/898	心梦碎光

1/898	梦回



1/358	遗尘·靴

1/358	遗尘·带

1/358	遗尘·戒

1/358	遗尘·镯

1/358	遗尘·链

1/358	遗尘·盔



1/1588	深蓝传说

1/1588	千年



1/422	灭世·靴

1/422	灭世·带

1/422	灭世·戒

1/422	灭世·手

1/422	灭世·链

1/422	灭世·盔



1/3022	深蓝之恋

1/3022	转瞬



1/422	降龍·靴

1/422	降龍·带

1/422	降龍·指

1/422	降龍·镯

1/422	降龍·链

1/422	降龍·盔



1/5555	万里追云

1/5555	轮回



1/555	圣罗痴情·靴

1/555	圣罗痴情·带

1/555	圣罗痴情·戒

1/555	圣罗痴情·镯

1/555	圣罗痴情·链

1/555	圣罗痴情·盔



1/8658	金丝羽灵

1/8658	碧血



1/658	苦罗痴心·靴

1/658	苦罗痴心·带

1/658	苦罗痴心·戒

1/658	苦罗痴心·镯

1/658	苦罗痴心·链

1/658	苦罗痴心·盔



1/15958	碎梦涵光

1/15958	妖异



1/958	金罗痴梦·靴

1/958	金罗痴梦·带

1/958	金罗痴梦·戒

1/958	金罗痴梦·镯

1/958	金罗痴梦·链

1/958	金罗痴梦·盔

































